PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1971-01-01,1971,1,-4.10,1.50,-7.80,4.10,-48.60,1.90,6.40,0.30,8.30,127.70,0.00,105.00,0,175,1215,31,31,31
1971-02-01,1971,2,-7.40,1.50,-12.70,4.10,-88.50,1.50,7.40,0.80,9.70,125.80,0.00,110.00,0,185,980,28,28,28
1971-03-01,1971,3,-3.70,3.80,-8.00,5.50,-12.30,1.70,14.50,-2.00,17.30,214.40,0.00,115.00,0,210,1045,31,31,31
1971-04-01,1971,4,-0.30,7.00,-1.20,9.40,82.50,9.30,17.90,7.10,19.00,399.20,0.00,100.00,0,160,890,30,30,30
1971-05-01,1971,5,4.60,13.60,3.30,15.50,298.80,11.40,23.20,8.80,25.70,576.60,0.00,40.00,0,280,720,31,31,31
1971-06-01,1971,6,12.70,17.80,11.00,20.20,450.70,18.20,25.80,16.10,27.80,660.40,0.00,165.00,0,385,1220,30,30,30
1971-07-01,1971,7,17.60,22.60,16.80,23.80,614.80,23.60,30.30,22.30,32.40,826.80,0.00,285.00,0,1120,3555,31,31,31
1971-08-01,1971,8,17.10,24.20,14.30,25.70,635.30,23.70,33.40,18.80,34.30,876.90,0.00,175.00,0,750,1600,31,31,31
1971-09-01,1971,9,11.90,17.40,10.70,19.10,451.30,19.70,24.70,18.50,27.60,687.40,0.00,265.00,0,695,2275,30,30,30
1971-10-01,1971,10,5.80,13.10,2.80,15.20,280.70,14.00,21.20,12.00,21.60,547.30,0.00,110.00,0,220,1165,31,31,31
1971-11-01,1971,11,0.30,6.30,-1.40,9.00,108.40,9.20,16.80,4.60,20.00,388.00,0.00,100.00,0,230,965,30,30,30
1971-12-01,1971,12,-1.60,3.40,-2.10,5.40,13.20,2.70,11.50,0.70,14.80,223.20,0.00,185.00,0,465,2575,31,31,31
1972-01-01,1972,1,-2.80,2.80,-3.70,7.50,-4.20,2.30,10.70,1.50,13.70,189.80,0.00,115.00,0,135,1170,31,31,31
1972-02-01,1972,2,-4.30,2.90,-5.10,3.60,-45.10,0.90,9.20,-0.60,10.60,131.00,0.00,55.00,0,200,715,29,29,29
1972-03-01,1972,3,-2.00,3.70,-3.50,8.00,19.60,6.00,13.40,4.30,18.10,287.70,0.00,125.00,0,380,1500,31,31,31
1972-04-01,1972,4,-0.20,8.70,-2.50,12.40,157.20,8.60,22.00,5.90,24.70,449.60,0.00,115.00,0,225,1125,30,30,30
1972-05-01,1972,5,7.50,12.90,6.80,14.50,308.20,15.00,23.20,12.60,25.40,579.20,0.00,145.00,0,325,1645,31,31,31
1972-06-01,1972,6,12.80,17.50,7.50,19.20,448.00,19.90,27.20,19.20,31.10,699.80,0.00,80.00,0,120,700,30,30,30
1972-07-01,1972,7,16.70,22.90,14.70,24.50,618.40,23.40,31.20,21.40,32.20,852.00,0.00,175.00,0,850,2250,31,31,31
1972-08-01,1972,8,14.70,22.60,14.30,24.90,616.40,24.90,32.40,21.20,33.40,873.80,0.00,175.00,0,440,1670,31,31,31
1972-09-01,1972,9,13.10,19.90,10.60,21.40,485.60,20.80,28.80,19.30,31.10,731.90,0.00,160.00,0,615,1960,30,30,30
1972-10-01,1972,10,6.80,13.90,5.20,16.10,323.00,16.50,23.40,13.30,24.50,619.20,0.00,140.00,0,295,1420,31,31,31
1972-11-01,1972,11,1.40,8.90,0.80,11.90,152.40,9.00,16.70,5.60,18.30,382.40,0.00,390.00,0,475,3515,30,30,30
1972-12-01,1972,12,-1.50,4.60,-2.50,7.80,53.80,3.70,12.10,2.90,14.30,253.50,0.00,170.00,0,300,2265,31,31,31
1973-01-01,1973,1,-2.50,2.70,-4.80,3.70,3.60,3.80,8.70,1.80,14.40,182.20,0.00,150.00,0,310,1740,31,31,31
1973-02-01,1973,2,-3.80,1.00,-5.30,6.00,-26.80,1.00,10.00,0.10,11.30,170.60,0.00,100.00,0,190,1095,28,28,28
1973-03-01,1973,3,-3.00,1.90,-4.50,4.70,-23.70,2.90,10.50,2.10,17.60,202.30,0.00,60.00,0,105,835,31,31,31
1973-04-01,1973,4,0.20,10.20,-1.00,10.80,167.70,11.00,18.90,8.90,21.90,455.70,0.00,100.00,0,345,1010,30,30,30
1973-05-01,1973,5,6.50,14.20,4.70,17.10,314.20,13.80,24.50,13.10,25.60,587.00,0.00,100.00,0,195,775,31,31,31
1973-06-01,1973,6,11.20,17.90,8.80,18.80,455.20,19.30,25.50,14.50,27.10,677.20,0.00,100.00,0,300,865,30,30,30
1973-07-01,1973,7,17.10,21.50,14.10,23.20,595.50,24.80,31.60,22.20,32.20,875.10,0.00,5.00,0,90,190,31,31,31
1973-08-01,1973,8,19.30,23.50,18.60,25.10,670.90,28.40,31.70,26.20,33.30,928.20,0.00,165.00,0,700,2065,31,31,31
1973-09-01,1973,9,13.90,18.40,13.00,22.00,486.00,20.60,26.90,18.70,31.50,726.30,0.00,520.00,0,755,4885,30,30,30
1973-10-01,1973,10,5.60,13.30,3.20,15.50,291.40,16.10,20.90,13.10,22.90,559.70,0.00,235.00,0,585,2295,31,31,31
1973-11-01,1973,11,0.60,8.20,0.20,12.50,133.50,7.40,16.40,6.60,18.70,364.10,0.00,315.00,0,375,3720,30,30,30
1973-12-01,1973,12,-2.00,1.60,-2.90,3.40,-10.30,3.30,8.30,0.50,11.00,175.00,5.00,240.00,0,545,3295,31,31,31
1974-01-01,1974,1,-4.10,0.90,-8.70,2.90,-46.40,1.40,6.10,0.80,10.40,107.80,5.00,120.00,0,205,1405,31,31,31
1974-02-01,1974,2,-5.40,0.10,-9.30,0.90,-72.20,0.40,6.80,-1.00,8.10,85.70,0.00,140.00,0,255,1225,28,28,28
1974-03-01,1974,3,-4.00,1.80,-7.30,3.90,-21.80,2.60,8.60,-0.70,11.60,182.80,0.00,115.00,0,195,1200,31,31,31
1974-04-01,1974,4,1.30,8.90,-0.60,10.00,140.70,9.60,19.80,8.00,23.50,429.30,0.00,70.00,0,175,780,30,30,30
1974-05-01,1974,5,6.50,13.90,4.10,18.50,322.70,13.90,26.70,13.00,29.20,619.00,0.00,65.00,0,115,530,31,31,31
1974-06-01,1974,6,13.20,18.40,11.60,18.70,470.00,20.10,25.80,16.50,30.60,690.00,0.00,100.00,0,240,915,30,30,30
1974-07-01,1974,7,16.10,21.60,12.50,23.10,569.30,22.00,29.40,19.70,31.40,784.20,0.00,135.00,0,455,1650,31,31,31
1974-08-01,1974,8,17.40,22.20,15.10,23.70,627.10,26.30,31.50,24.80,33.60,896.20,0.00,135.00,0,515,1250,31,31,31
1974-09-01,1974,9,10.80,20.00,8.80,22.50,461.90,21.30,26.80,18.30,31.20,722.50,0.00,135.00,0,310,1435,30,30,30
1974-10-01,1974,10,5.10,14.40,2.20,16.60,290.00,14.80,20.60,13.40,21.80,556.40,0.00,220.00,0,320,1985,31,31,31
1974-11-01,1974,11,0.40,5.40,-2.70,7.50,84.00,5.60,14.10,4.60,19.50,322.80,0.00,190.00,0,305,1615,30,30,30
1974-12-01,1974,12,-3.60,2.10,-6.70,3.80,-34.90,2.10,7.40,1.20,9.90,147.70,0.00,60.00,0,80,600,31,31,31
1975-01-01,1975,1,-5.10,0.80,-9.10,1.70,-68.80,0.50,6.30,-0.70,8.50,105.40,0.00,120.00,0,185,1170,31,31,31
