MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-19.489090909090915,1.714545454545455,38.3490909090909
2,-18.832727272727276,3.1345454545454543,31.89272727272727
3,-11.74363636363636,8.650909090909089,48.86363636363637
4,-3.096363636363636,18.143636363636364,54.40363636363636
5,2.262962962962963,24.76792452830188,75.72962962962963
6,7.164814814814812,27.077777777777783,82.59814814814817
7,12.014545454545454,30.490740740740744,92.56909090909087
8,13.503636363636362,30.433333333333334,129.32909090909092
9,7.558490566037734,26.115094339622637,121.13396226415095
10,-0.027777777777777745,20.07962962962963,85.91851851851851
11,-5.78888888888889,13.192592592592595,58.951851851851856
12,-14.322222222222225,4.857407407407408,42.67777777777778
