PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1970-01-01,1970,1,-8.30,-0.60,-10.00,5.00,-131.90,6.70,11.70,3.30,15.00,292.60,0.00,0.00,0,406,688,31,31,31
1970-02-01,1970,2,-6.70,1.10,-8.90,7.80,-61.20,6.70,16.10,3.30,18.30,296.50,0.00,48.00,0,160,443,28,28,28
1970-03-01,1970,3,-5.00,2.80,-7.20,4.40,-47.20,4.40,15.60,3.30,17.80,311.80,0.00,20.00,0,330,638,31,31,31
1970-04-01,1970,4,3.30,12.20,2.20,13.30,220.50,12.20,22.20,8.30,25.00,509.40,0.00,20.00,0,295,771,30,30,30
1970-05-01,1970,5,10.60,16.70,8.30,19.40,408.30,18.30,26.10,15.00,27.80,721.50,0.00,173.00,0,523,1806,31,31,31
1970-06-01,1970,6,13.30,19.40,12.20,21.10,510.20,21.10,28.90,16.10,30.60,746.80,0.00,274.00,0,1074,2630,30,30,30
1970-07-01,1970,7,18.30,23.30,15.60,25.00,648.00,21.70,32.20,21.10,33.90,876.80,0.00,71.00,0,759,1450,31,31,31
1970-08-01,1970,8,18.90,23.30,18.30,24.40,662.10,27.80,32.80,25.00,33.90,928.30,0.00,155.00,0,343,900,31,31,31
1970-09-01,1970,9,16.10,21.10,12.20,23.30,559.90,20.00,31.10,18.30,33.90,783.90,0.00,46.00,0,315,660,30,30,30
1970-10-01,1970,10,3.90,14.40,2.20,15.00,322.60,16.70,25.00,12.20,27.20,639.30,0.00,104.00,0,196,977,31,31,31
1970-11-01,1970,11,-2.80,8.90,-4.40,10.60,117.60,9.40,20.00,6.70,21.70,459.30,0.00,36.00,0,396,964,30,30,30
1970-12-01,1970,12,-5.60,0.00,-6.70,4.40,-82.30,5.00,13.30,2.20,18.30,300.00,0.00,5.00,0,284,551,31,31,31
1971-01-01,1971,1,-5.00,2.80,-6.70,7.20,-61.50,7.20,13.30,1.10,16.70,311.60,0.00,25.00,0,236,403,31,31,31
1971-02-01,1971,2,-5.60,3.90,-7.20,5.60,-21.60,6.10,14.40,5.00,17.20,293.90,0.00,53.00,0,163,468,28,28,28
1971-03-01,1971,3,-5.00,7.80,-7.80,11.10,54.20,9.40,20.00,7.80,21.10,428.20,0.00,81.00,0,315,843,31,31,31
1971-04-01,1971,4,3.90,11.10,1.70,13.30,235.60,13.90,22.20,12.20,27.20,537.30,0.00,193.00,0,465,1322,30,30,30
1971-05-01,1971,5,10.00,16.10,8.90,16.70,405.60,17.80,27.20,14.40,28.90,694.50,0.00,104.00,0,244,817,31,31,31
1971-06-01,1971,6,15.00,18.90,13.90,20.00,516.10,20.00,28.30,18.90,32.20,759.80,0.00,61.00,0,391,827,30,30,30
