MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,13.24150943396226,23.318749999999998,128.9867924528302
2,13.311320754716983,24.316666666666666,126.10754716981128
3,14.6811320754717,25.72083333333333,126.31698113207547
4,17.633962264150945,27.735416666666666,155.31320754716984
5,20.803773584905663,29.69148936170212,227.93962264150943
6,23.488679245283016,31.529787234042544,177.11509433962271
7,25.198113207547166,32.69574468085106,138.1641509433962
8,25.04150943396227,32.20851063829786,241.24339622641506
9,24.10192307692308,31.31739130434783,218.8673076923077
10,21.84038461538461,29.431914893617027,155.92115384615383
11,18.476923076923075,27.334042553191484,143.2634615384615
12,15.092307692307692,24.85111111111111,139.7403846153846
