MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,5.467857142857144,22.884615384615394,41.498214285714276
2,7.317857142857144,25.04444444444445,41.83392857142859
3,10.380357142857141,28.34444444444444,62.01071428571428
4,15.403571428571427,31.830769230769242,87.8375
5,19.84821428571429,33.603921568627456,175.88035714285712
6,23.041071428571424,34.56600000000001,215.95535714285705
7,24.062500000000007,35.14230769230768,223.2017857142857
8,23.800000000000008,34.90769230769231,199.87321428571428
9,21.276363636363637,34.1,126.57454545454546
10,16.405454545454546,31.850943396226413,68.35454545454544
11,11.054545454545458,28.42115384615385,44.28000000000001
12,6.17818181818182,24.9235294117647,27.39999999999999
