MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,2.990196078431372,13.966666666666665,80.42745098039218
2,3.2215686274509805,14.68235294117647,62.373999999999995
3,4.828,17.194000000000003,47.602
4,6.949999999999999,19.666000000000004,54.51200000000001
5,10.303999999999997,23.798000000000002,42.81000000000002
6,14.122,27.774000000000004,24.151999999999997
7,16.987999999999996,30.266,6.073999999999999
8,17.032,30.195999999999998,19.97
9,14.053999999999995,26.430000000000003,54.846000000000004
10,10.318000000000001,22.43,107.13799999999998
11,5.799999999999998,17.88,82.38400000000001
12,3.872,14.812000000000005,73.788
