MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-4.4923076923076914,11.469230769230771,-12.8,15.4,55.315384615384616
2,-3.4000000000000004,12.546153846153846,-11.100000000000001,20.700000000000003,43.17692307692308
3,-2.6846153846153844,16.907692307692308,-10.200000000000001,24.700000000000003,39.69230769230769
4,-0.7999999999999999,21.383333333333336,-5.1000000000000005,27.700000000000003,31.05833333333334
5,2.9153846153846152,24.161538461538463,-2.7,32.300000000000004,50.54615384615384
6,6.938461538461538,28.76923076923077,1.4000000000000001,35.0,68.42307692307693
7,8.576923076923078,31.1076923076923,1.7000000000000002,41.1,60.476923076923086
8,8.061538461538463,31.10769230769231,0.9,37.6,38.71538461538462
9,4.976923076923078,26.869230769230775,-1.3,34.0,44.74615384615384
10,2.707692307692308,21.361538461538466,-2.9000000000000004,26.5,60.17692307692308
11,-0.5846153846153845,14.83076923076923,-7.300000000000001,21.5,49.48461538461538
12,-2.776923076923077,12.253846153846156,-10.0,17.0,55.300000000000004
