PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1970-01-01,1970,1,,,,,,,,,,,0.00,57.00,0,131,697,,,31
1970-02-01,1970,2,,,,,,,,,,,0.00,111.00,0,158,1502,,,28
1970-03-01,1970,3,,,,,,,,,,,0.00,78.00,0,167,940,,,31
1970-04-01,1970,4,,,,,,,,,,,0.00,71.00,0,165,914,,,30
1970-05-01,1970,5,,,,,,,,,,,0.00,95.00,0,201,820,,,31
1970-06-01,1970,6,,,,,,,,,,,0.00,14.00,0,173,322,,,30
1970-07-01,1970,7,,,,,,,,,,,0.00,108.00,0,235,877,,,31
1970-08-01,1970,8,,,,,,,,,,,0.00,45.00,0,249,597,,,31
1970-09-01,1970,9,,,,,,,,,,,0.00,27.00,0,76,264,,,30
1970-10-01,1970,10,,,,,,,,,,,0.00,33.00,0,161,480,,,31
1970-11-01,1970,11,,,,,,,,,,,0.00,87.00,0,208,930,,,30
1970-12-01,1970,12,,,,,,,,,,,0.00,37.00,0,103,346,,,31
1971-01-01,1971,1,,,,,,,,,,,0.00,62.00,0,183,786,,,31
1971-02-01,1971,2,,,,,,,,,,,0.00,45.00,0,178,491,,,28
1971-03-01,1971,3,,,,,,,,,,,0.00,36.00,0,102,369,,,31
1971-04-01,1971,4,,,,,,,,,,,0.00,17.00,0,135,272,,,30
1971-05-01,1971,5,,,,,,,,,,,0.00,101.00,0,293,1011,,,31
1971-06-01,1971,6,,,,,,,,,,,0.00,134.00,0,351,1115,,,30
1971-07-01,1971,7,,,,,,,,,,,0.00,36.00,0,163,428,,,31
1971-08-01,1971,8,,,,,,,,,,,0.00,92.00,0,170,691,,,31
1971-09-01,1971,9,,,,,,,,,,,0.00,11.00,0,61,102,,,30
1971-10-01,1971,10,,,,,,,,,,,0.00,12.00,0,42,148,,,31
1971-11-01,1971,11,,,,,,,,,,,0.00,136.00,0,254,1210,,,30
1971-12-01,1971,12,,,,,,,,,,,0.00,9.00,0,27,68,,,31
1972-01-01,1972,1,,,,,,,,,,,0.00,103.00,0,167,847,,,31
1972-02-01,1972,2,,,,,,,,,,,0.00,56.00,0,117,462,,,29
1972-03-01,1972,3,,,,,,,,,,,0.00,73.00,0,193,765,,,31
1972-04-01,1972,4,,,,,,,,,,,0.00,73.00,0,163,847,,,30
1972-05-01,1972,5,,,,,,,,,,,0.00,73.00,0,136,820,,,31
1972-06-01,1972,6,,,,,,,,,,,0.00,18.00,0,174,376,,,30
1972-07-01,1972,7,,,,,,,,,,,0.00,107.00,0,195,946,,,31
1972-08-01,1972,8,,,,,,,,,,,0.00,101.00,0,183,773,,,31
1972-09-01,1972,9,,,,,,,,,,,0.00,74.00,0,211,632,,,30
1972-10-01,1972,10,,,,,,,,,,,0.00,31.00,0,104,245,,,31
1972-11-01,1972,11,,,,,,,,,,,0.00,119.00,0,257,1111,,,30
1972-12-01,1972,12,,,,,,,,,,,0.00,34.00,0,101,347,,,31
1973-01-01,1973,1,,,,,,,,,,,0.00,38.00,0,89,342,,,31
1973-02-01,1973,2,,,,,,,,,,,0.00,63.00,0,166,588,,,28
1973-03-01,1973,3,,,,,,,,,,,0.00,13.00,0,40,116,,,31
1973-04-01,1973,4,,,,,,,,,,,0.00,28.00,0,159,434,,,30
1973-05-01,1973,5,,,,,,,,,,,0.00,86.00,0,166,746,,,31
1973-06-01,1973,6,,,,,,,,,,,0.00,4.00,0,258,340,,,30
1973-07-01,1973,7,,,,,,,,,,,0.00,59.00,0,222,732,,,31
1973-08-01,1973,8,,,,,,,,,,,0.00,21.00,0,62,197,,,31
1973-09-01,1973,9,,,,,,,,,,,0.00,131.00,0,217,990,,,30
1973-10-01,1973,10,,,,,,,,,,,0.00,82.00,0,122,531,,,31
1973-11-01,1973,11,,,,,,,,,,,0.00,89.00,0,172,750,,,30
1973-12-01,1973,12,,,,,,,,,,,0.00,63.00,0,102,729,,,31
1974-01-01,1974,1,,,,,,,,,,,0.00,51.00,0,188,768,,,31
1974-02-01,1974,2,,,,,,,,,,,0.00,71.00,0,209,698,,,28
1974-03-01,1974,3,,,,,,,,,,,0.00,71.00,0,178,727,,,31
1974-04-01,1974,4,,,,,,,,,,,0.00,2.00,0,60,99,,,30
1974-05-01,1974,5,,,,,,,,,,,0.00,66.00,0,100,388,,,31
1974-06-01,1974,6,,,,,,,,,,,0.00,61.00,0,169,629,,,30
