MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-7.969811320754714,8.870833333333335,-15.600000000000001,16.0,40.502
2,-6.230188679245286,11.30888888888889,-16.0,21.400000000000002,43.10833333333332
3,-1.411320754716981,16.630434782608695,-11.0,27.1,54.82708333333335
4,3.386792452830189,24.08125,-6.9,33.6,59.24897959183674
5,9.022641509433964,28.51875,3.1,35.1,65.32857142857145
6,13.830188679245285,30.12399999999999,6.0,36.9,82.50800000000001
7,18.10943396226415,32.81063829787236,5.5,39.300000000000004,219.52200000000008
8,18.70566037735849,32.93829787234043,6.0,38.900000000000006,242.53137254901966
9,13.467307692307692,28.253191489361708,3.0,35.800000000000004,197.27872340425532
10,7.203846153846154,24.055319148936164,-3.5,31.200000000000003,92.26249999999999
11,0.22115384615384623,19.341666666666665,-7.0,26.5,62.6
12,-5.805769230769231,12.065909090909093,-15.0,21.1,33.1906976744186
