MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-4.740000000000001,10.574285714285713,65.11818181818181
2,-4.002857142857142,11.537142857142857,57.81515151515153
3,-1.8857142857142857,16.137142857142855,51.28529411764706
4,-0.014705882352941164,20.93235294117647,41.74848484848485
5,3.870588235294118,24.997058823529407,56.00303030303031
6,7.576470588235295,27.82352941176471,62.42727272727274
7,9.900000000000002,29.439999999999998,72.23030303030303
8,9.46857142857143,29.185714285714287,75.13636363636364
9,6.391428571428572,24.52285714285714,61.06666666666668
10,2.748571428571429,19.28,64.07575757575756
11,-0.7228571428571431,13.602857142857143,65.43437499999999
12,-3.4571428571428573,10.759999999999998,72.88181818181819
