MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-10.312500000000002,7.926785714285714,-27.6,18.5,46.18214285714287
2,-8.925,9.523214285714287,-23.700000000000003,20.0,40.13392857142858
3,-4.5875,15.33214285714286,-25.1,24.0,47.87142857142858
4,-1.2963636363636364,19.939999999999998,-10.3,30.3,53.230909090909115
5,3.270909090909091,23.96909090909091,-5.300000000000001,30.8,86.16181818181816
6,6.974545454545454,27.378181818181805,-1.2000000000000002,35.1,106.91818181818188
7,9.114545454545455,28.996363636363633,3.8000000000000003,36.4,102.65090909090908
8,8.458181818181817,28.776363636363634,-1.0,37.1,92.4218181818182
9,4.216363636363638,24.570909090909097,-3.7,31.700000000000003,68.23636363636363
10,-0.08363636363636363,19.474545454545453,-9.9,27.3,54.18363636363638
11,-3.9654545454545453,12.723636363636361,-17.1,21.6,56.31272727272728
12,-8.556363636363635,9.143636363636364,-25.5,20.3,51.31454545454545
