MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-1.918,23.685999999999993,5.230000000000001
2,-0.24399999999999986,26.686000000000007,3.912
3,2.53,29.363999999999997,3.8080000000000007
4,6.792000000000001,32.42400000000001,4.6
5,11.788000000000002,35.786,11.432
6,16.558823529411764,38.016,23.894117647058817
7,17.54117647058823,35.96274509803922,64.45294117647059
8,16.72127659574468,34.223404255319146,69.2468085106383
9,13.886,32.81399999999999,61.146
10,7.422916666666665,30.843749999999996,17.289583333333326
11,1.1714285714285715,27.2469387755102,7.212244897959185
12,-1.7300000000000006,24.458,6.308000000000002
