DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,24.213333333333335,31.52307692307693,15.8,32.800000000000004,,1,1
2,24.846666666666668,31.38181818181818,23.6,32.800000000000004,,1,2
3,25.013333333333335,32.02727272727273,23.8,33.4,,1,3
4,25.150000000000002,31.509090909090904,24.200000000000003,33.6,,1,4
5,25.092857142857145,31.763636363636365,24.0,34.4,,1,5
6,24.77333333333333,31.400000000000002,22.0,33.2,,1,6
7,25.04545454545455,31.48,24.1,32.800000000000004,,1,7
8,24.85384615384616,31.654545454545453,22.0,33.2,,1,8
9,25.18571428571429,31.636363636363637,23.6,35.2,,1,9
10,24.65,31.569230769230767,21.0,33.4,17.0,1,10
11,25.094444444444445,31.843750000000004,24.0,33.4,,1,11
12,25.057142857142853,31.8,24.0,33.800000000000004,,1,12
13,25.293750000000003,32.016666666666666,23.200000000000003,33.4,,1,13
14,25.526666666666667,32.40833333333334,24.0,34.0,,1,14
15,25.09090909090909,31.450000000000006,23.6,33.2,,1,15
16,25.18666666666667,31.625,24.0,33.2,,1,16
17,25.166666666666668,30.97,22.400000000000002,32.800000000000004,,1,17
18,24.946666666666665,31.275000000000002,23.200000000000003,32.800000000000004,,1,18
19,24.975000000000005,31.575,23.6,33.800000000000004,,1,19
20,25.036363636363635,32.333333333333336,23.1,33.6,0.0,1,20
21,25.1125,31.55,23.0,33.800000000000004,0.0,1,21
22,24.900000000000002,31.490909090909096,23.6,32.800000000000004,,1,22
23,25.075000000000003,32.09090909090909,23.400000000000002,33.800000000000004,,1,23
24,24.942857142857147,32.050000000000004,23.0,33.4,0.0,1,24
25,24.750000000000004,31.327272727272728,22.8,34.2,,1,25
26,24.99375,31.638461538461538,23.400000000000002,33.4,,1,26
27,24.693333333333335,31.15555555555555,22.400000000000002,33.6,0.5,1,27
28,24.533333333333342,30.962500000000002,23.0,34.0,,1,28
29,24.887499999999996,32.17333333333333,23.200000000000003,33.800000000000004,,1,29
30,24.946666666666662,31.718181818181822,23.200000000000003,34.0,,1,30
31,25.183333333333337,32.25454545454546,22.8,33.6,0.0,1,31
32,24.74166666666667,31.3090909090909,23.0,33.7,0.5,2,1
33,24.535294117647055,31.446666666666665,23.0,33.2,,2,2
34,24.881818181818186,31.7625,24.200000000000003,33.0,,2,3
35,24.589473684210525,31.364705882352943,19.6,34.0,11.9,2,4
36,24.690000000000005,31.2375,21.5,32.6,,2,5
37,24.825000000000003,31.58888888888889,23.8,33.0,,2,6
38,24.66875,30.986666666666665,23.200000000000003,33.6,,2,7
39,24.5,31.14545454545455,23.200000000000003,33.4,,2,8
40,24.06111111111111,30.72307692307693,21.6,33.1,0.0,2,9
41,24.371428571428574,31.745454545454546,20.6,33.6,0.0,2,10
42,24.953846153846158,32.19,24.0,33.6,,2,11
43,24.611111111111107,31.145454545454548,22.8,32.0,,2,12
44,24.680000000000003,31.71,22.6,33.2,,2,13
45,24.573333333333334,31.47857142857143,22.6,33.6,0.0,2,14
46,24.669999999999995,31.293333333333337,22.400000000000002,33.800000000000004,,2,15
47,24.96875,31.41428571428571,23.8,33.6,,2,16
48,24.507692307692306,31.700000000000003,23.200000000000003,32.800000000000004,0.0,2,17
49,24.987500000000004,32.09090909090909,23.6,33.7,1.0,2,18
50,24.700000000000003,31.40909090909091,23.0,33.6,11.9,2,19
51,24.728571428571428,32.099999999999994,23.0,33.300000000000004,,2,20
52,24.733333333333338,31.599999999999998,22.8,34.0,0.0,2,21
53,24.986666666666665,31.56666666666667,23.5,33.6,0.0,2,22
54,24.378947368421056,30.82857142857143,22.6,33.0,47.0,2,23
55,24.953333333333333,31.39166666666667,23.400000000000002,33.300000000000004,0.0,2,24
56,24.776470588235295,32.17777777777778,23.400000000000002,34.2,,2,25
57,24.942857142857147,31.063636363636366,23.8,34.300000000000004,,2,26
58,24.409999999999997,31.62777777777778,20.0,33.2,36.050000000000004,2,27
59,25.13076923076923,31.736363636363635,24.0,33.7,0.0,2,28
60,25.035714285714285,31.7375,23.6,33.0,3.0,3,1
61,25.037499999999998,31.030769230769224,23.8,33.2,1.0,3,2
62,24.96153846153846,31.70909090909091,23.8,34.2,23.1,3,3
63,25.05294117647059,32.107692307692304,23.400000000000002,33.800000000000004,6.1000000000000005,3,4
64,24.93846153846154,33.00000000000001,22.200000000000003,34.4,0.0,3,5
65,25.13333333333333,31.860000000000007,24.200000000000003,33.7,,3,6
66,25.13333333333334,31.800000000000004,23.0,34.2,,3,7
67,24.829411764705885,31.823076923076925,23.5,33.5,,3,8
68,25.121428571428574,31.35454545454546,23.8,32.4,,3,9
69,24.615384615384617,30.7875,22.8,33.2,,3,10
70,24.733333333333338,31.178571428571427,22.8,33.5,,3,11
71,24.98823529411765,32.190909090909095,23.6,33.6,7.9,3,12
72,25.294444444444448,31.76923076923077,24.1,33.800000000000004,0.0,3,13
73,25.130769230769225,31.671428571428574,23.400000000000002,33.2,3.5500000000000003,3,14
74,24.9,31.624999999999996,22.0,33.0,29.6,3,14
75,25.057142857142857,32.2,23.400000000000002,34.0,,3,16
76,25.1625,30.971428571428568,24.200000000000003,34.0,,3,17
77,24.717647058823527,30.94615384615384,23.0,32.4,0.0,3,18
78,24.736842105263158,30.833333333333336,23.6,32.800000000000004,15.0,3,19
79,24.228571428571435,30.625,21.200000000000003,33.0,,3,20
80,24.60526315789474,31.135714285714283,23.6,33.6,4.1000000000000005,3,21
81,25.013333333333332,31.735714285714288,24.0,33.4,,3,22
82,25.145454545454548,31.73333333333334,23.400000000000002,33.0,3.0,3,23
83,25.35384615384616,31.72,24.400000000000002,33.0,,3,24
84,25.38571428571429,32.309999999999995,24.200000000000003,34.0,,3,25
85,25.11428571428572,31.575,23.8,33.2,0.0,3,26
86,24.971428571428568,31.563636363636363,24.0,33.800000000000004,0.0,3,27
87,24.915384615384617,31.76666666666667,23.200000000000003,33.1,,3,28
88,24.900000000000002,31.9,23.400000000000002,32.800000000000004,4.1000000000000005,3,29
89,24.6375,32.327272727272735,22.400000000000002,34.0,,3,29
90,24.700000000000006,31.028571428571436,23.0,32.2,,3,31
91,24.90714285714285,31.918181818181825,23.6,34.800000000000004,,4,1
92,24.416666666666668,31.300000000000004,23.6,31.400000000000002,,4,2
93,24.958333333333332,31.190000000000005,23.6,33.4,,4,3
94,24.645454545454548,31.9625,23.400000000000002,33.4,0.0,4,4
95,24.88461538461539,31.227272727272734,23.0,32.800000000000004,,4,5
96,25.046666666666667,32.059999999999995,24.200000000000003,33.2,,4,6
97,24.692307692307693,31.85454545454546,22.400000000000002,34.6,,4,7
98,24.788888888888895,31.592857142857145,22.8,33.800000000000004,0.0,4,8
99,24.62307692307692,31.4,21.8,33.0,,4,9
100,24.76666666666667,31.815384615384616,21.1,33.6,,4,10
101,24.825,32.03846153846154,22.0,33.6,0.0,4,11
102,24.788235294117648,31.3,23.0,33.2,,4,12
103,24.61818181818182,31.6,23.200000000000003,33.5,,4,13
104,24.68421052631579,32.088235294117645,20.200000000000003,33.0,,4,14
105,24.731250000000003,31.700000000000003,22.8,33.0,0.0,4,15
106,25.135714285714293,32.06923076923077,23.8,34.6,,4,16
107,25.214285714285715,31.450000000000003,23.400000000000002,33.0,,4,17
108,24.84,31.58181818181818,23.0,32.800000000000004,,4,18
109,25.225,31.04166666666667,24.200000000000003,32.6,,4,18
110,24.349999999999998,31.444444444444443,22.200000000000003,33.2,0.0,4,20
111,24.90666666666667,31.87142857142857,23.6,33.6,0.0,4,21
112,25.259999999999998,32.107692307692304,23.200000000000003,33.6,,4,22
113,24.88181818181818,31.77142857142857,23.1,34.2,,4,23
114,24.978571428571428,30.881818181818186,22.200000000000003,32.7,5.1000000000000005,4,24
115,25.33750000000001,31.836363636363647,24.6,32.6,,4,25
116,24.963157894736838,32.040000000000006,21.0,33.800000000000004,0.0,4,26
117,25.000000000000004,31.827272727272728,23.0,33.6,,4,26
118,25.31875,31.873333333333328,22.8,36.0,,4,28
119,25.253846153846155,31.830000000000002,24.200000000000003,32.800000000000004,,4,29
120,24.920000000000005,31.549999999999997,24.0,32.6,0.0,4,30
121,25.07,31.200000000000003,24.0,32.4,,5,1
122,24.800000000000004,31.22857142857143,23.200000000000003,31.8,,5,2
123,24.992857142857144,31.360000000000003,23.8,33.4,,5,3
124,24.720000000000006,31.78461538461539,20.400000000000002,33.2,,5,4
125,25.12,31.654545454545453,24.200000000000003,34.4,,5,5
126,25.05,31.86666666666667,21.400000000000002,34.2,,5,6
127,25.557142857142857,32.25454545454546,24.200000000000003,33.4,,5,7
128,25.630769230769236,32.41428571428572,22.400000000000002,33.4,,5,8
129,25.073333333333334,31.083333333333343,24.0,33.4,,5,8
130,25.20588235294117,31.45,24.0,33.800000000000004,,5,10
131,25.207692307692312,32.083333333333336,23.8,33.6,,5,10
132,24.63529411764706,31.635714285714283,19.8,33.2,,5,12
133,25.33888888888889,31.55555555555556,24.0,33.4,2.0,5,13
134,25.28888888888889,32.39,22.400000000000002,33.2,0.0,5,14
135,25.638461538461538,32.15,24.200000000000003,33.4,,5,15
136,25.457142857142856,32.15,24.200000000000003,33.4,0.0,5,16
137,24.780952380952385,32.05384615384616,14.200000000000001,33.6,10.9,5,17
138,25.271428571428572,31.97692307692308,21.0,33.4,,5,18
139,25.24166666666667,31.97,23.400000000000002,33.6,,5,19
140,25.16470588235294,31.7076923076923,24.0,33.4,0.0,5,20
141,25.316666666666663,32.07777777777778,23.200000000000003,33.800000000000004,,5,21
142,25.453846153846158,32.14,24.0,33.6,,5,22
143,25.338888888888885,32.41538461538462,22.0,34.1,16.0,5,23
144,25.308333333333326,32.5,22.6,33.2,,5,24
145,25.326666666666664,31.992307692307694,23.8,33.0,,5,25
146,25.466666666666665,32.21,22.400000000000002,33.2,,5,26
147,25.32,32.08571428571429,20.400000000000002,33.6,0.0,5,27
148,25.286666666666665,31.53333333333333,23.0,33.1,,5,28
149,25.10625,31.792307692307695,21.6,33.5,14.0,5,29
150,25.12857142857143,32.10833333333334,22.400000000000002,33.4,,5,30
151,25.173684210526318,31.93076923076923,23.0,33.0,0.0,5,31
152,25.0,31.96666666666667,21.400000000000002,32.800000000000004,,6,1
153,25.316666666666666,31.87692307692308,23.8,32.800000000000004,,6,2
154,24.966666666666672,31.728571428571428,21.400000000000002,32.800000000000004,0.0,6,3
155,25.125000000000004,31.827272727272724,23.200000000000003,32.5,,6,4
156,25.135714285714283,32.125,23.6,33.4,0.5,6,5
157,25.173684210526314,31.63076923076923,22.6,33.300000000000004,0.0,6,6
158,24.791666666666668,31.775,21.6,33.6,,6,7
159,25.166666666666668,32.0,20.8,33.4,,6,8
160,25.416666666666668,31.861538461538466,23.6,33.0,,6,9
161,25.493750000000002,31.576923076923077,23.6,33.2,,6,10
162,25.272222222222222,31.62857142857143,22.8,33.7,,6,11
163,25.35,31.560000000000002,24.400000000000002,33.6,,6,12
164,24.866666666666667,31.428571428571434,23.200000000000003,32.800000000000004,0.5,6,12
165,24.62352941176471,31.400000000000006,21.0,33.800000000000004,4.1000000000000005,6,14
166,24.86875,31.600000000000005,20.200000000000003,33.6,,6,15
167,25.046666666666667,32.03,24.200000000000003,33.800000000000004,,6,16
168,24.955000000000002,31.481818181818184,23.6,33.7,2.0,6,17
169,24.776470588235295,31.545454545454547,23.200000000000003,33.4,1.0,6,17
170,24.62,31.066666666666663,20.6,33.0,,6,19
171,24.728571428571424,31.677777777777774,21.200000000000003,33.2,,6,19
172,25.015384615384615,31.2375,23.400000000000002,33.2,0.0,6,21
173,24.835714285714285,31.577777777777783,23.200000000000003,32.800000000000004,0.0,6,22
174,24.607142857142858,31.45833333333334,20.8,32.800000000000004,,6,22
175,24.56190476190476,32.00000000000001,20.400000000000002,33.4,27.05,6,24
176,24.884615384615383,32.0,20.0,33.4,,6,25
177,25.1625,31.466666666666665,23.8,33.1,0.0,6,26
178,24.686666666666667,31.754545454545454,21.0,33.4,,6,27
179,24.7,31.566666666666666,21.0,33.0,,6,28
180,24.457142857142856,31.600000000000005,20.0,32.6,,6,29
181,24.573333333333338,31.377777777777776,23.200000000000003,32.6,,6,30
182,24.887500000000003,32.1,23.400000000000002,33.2,,7,1
183,24.666666666666668,31.285714285714285,23.200000000000003,32.6,55.1,7,2
184,24.673684210526318,31.313333333333336,19.8,33.0,0.25,7,3
185,25.19375,31.846153846153843,23.700000000000003,33.6,,7,4
186,24.994736842105258,31.899999999999995,22.0,33.6,,7,5
187,24.537499999999998,31.910000000000004,21.0,33.0,1.0,7,6
188,24.600000000000005,31.60909090909091,17.6,33.7,,7,7
189,24.8375,31.336363636363636,22.0,32.800000000000004,4.1000000000000005,7,8
190,24.831249999999997,31.24166666666667,22.200000000000003,32.800000000000004,,7,9
191,24.681250000000002,31.741666666666664,23.3,32.800000000000004,,7,10
192,24.522222222222226,31.246153846153845,20.5,32.2,,7,11
193,24.721428571428568,31.925,22.0,33.4,,7,12
194,24.816666666666666,31.96,23.6,33.4,,7,13
195,24.7375,30.86923076923077,22.6,33.6,,7,14
196,24.95,31.76923076923077,23.8,33.4,,7,15
197,24.935714285714287,31.718181818181815,23.0,33.7,,7,16
198,24.572727272727274,31.777777777777786,21.6,33.800000000000004,0.0,7,17
199,25.083333333333332,31.700000000000003,23.8,33.2,,7,17
200,24.668750000000003,31.55454545454545,23.6,32.4,5.1000000000000005,7,19
201,25.150000000000002,32.07272727272728,24.200000000000003,33.4,,7,20
202,24.474999999999998,31.360000000000003,22.8,32.6,0.0,7,20
203,24.805555555555557,30.933333333333334,22.8,33.4,30.0,7,22
204,24.71666666666667,30.9625,22.6,33.7,0.0,7,22
205,24.565,31.333333333333336,23.200000000000003,32.800000000000004,0.0,7,24
206,24.783333333333335,30.72666666666667,23.400000000000002,32.800000000000004,7.1000000000000005,7,25
