PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1973-01-01,1973,1,-10.00,2.00,-13.00,5.00,-43.00,0.00,6.00,-3.00,8.00,70.00,0.00,30.00,0,61,233,24,26,25
1973-02-01,1973,2,-5.00,2.00,-8.00,2.00,-35.00,2.00,6.00,0.00,8.00,102.00,0.00,79.00,0,521,942,17,27,22
1973-03-01,1973,3,-3.00,4.00,-5.00,5.00,-1.00,4.00,15.00,2.00,20.00,288.00,0.00,10.00,0,51,117,24,30,29
1973-04-01,1973,4,-2.00,4.00,-3.00,7.00,27.00,6.00,16.00,4.00,19.00,306.00,0.00,51.00,0,160,644,24,29,28
1973-05-01,1973,5,2.00,12.00,0.00,14.00,213.00,14.00,25.00,12.00,26.00,591.00,0.00,51.00,0,119,414,29,31,28
1973-06-01,1973,6,6.00,13.00,4.00,15.00,295.00,18.00,27.00,18.00,32.00,672.00,0.00,20.00,0,99,283,29,30,29
1973-07-01,1973,7,9.00,16.00,8.00,19.00,360.00,18.00,30.00,17.00,31.00,674.00,0.00,99.00,0,282,819,28,29,26
1973-08-01,1973,8,8.00,16.00,5.00,17.00,350.00,20.00,29.00,19.00,31.00,737.00,0.00,20.00,0,79,185,30,29,29
1973-09-01,1973,9,4.00,14.00,0.00,15.00,236.00,15.00,30.00,12.00,32.00,640.00,0.00,20.00,0,119,300,25,30,28
1973-10-01,1973,10,0.00,9.00,-3.00,12.00,88.00,8.00,18.00,7.00,21.00,354.00,0.00,140.00,0,231,846,22,28,26
1973-11-01,1973,11,-3.00,7.00,-7.00,8.00,22.00,2.00,10.00,-1.00,13.00,198.00,0.00,61.00,0,119,533,21,29,28
1973-12-01,1973,12,-9.00,3.00,-16.00,4.00,-41.00,-2.00,5.00,-8.00,9.00,61.00,0.00,51.00,0,130,604,21,28,29
1974-01-01,1974,1,-2.00,5.00,-3.00,8.00,31.00,2.00,10.00,1.00,12.00,196.00,0.00,61.00,0,109,508,26,31,30
1974-02-01,1974,2,-2.00,4.00,-3.00,7.00,19.00,4.00,12.00,2.00,14.00,172.00,0.00,71.00,0,99,436,22,24,24
1974-03-01,1974,3,-1.00,6.00,-3.00,8.00,89.00,3.00,18.00,2.00,21.00,303.00,0.00,30.00,0,160,386,28,30,30
1974-04-01,1974,4,0.00,5.00,-3.00,9.00,64.00,10.00,19.00,8.00,23.00,448.00,0.00,5.00,0,36,74,28,30,29
1974-05-01,1974,5,2.00,9.00,2.00,10.00,156.00,13.00,23.00,4.00,24.00,520.00,0.00,41.00,0,119,510,28,31,31
1974-06-01,1974,6,6.00,12.00,2.00,14.00,263.00,14.00,25.00,13.00,26.00,562.00,0.00,61.00,0,94,639,29,28,27
1974-07-01,1974,7,8.00,15.00,5.00,16.00,310.00,18.00,24.00,14.00,27.00,626.00,0.00,71.00,0,180,848,28,30,30
1974-08-01,1974,8,9.00,16.00,6.00,17.00,318.00,19.00,30.00,15.00,34.00,672.00,0.00,66.00,0,109,463,26,28,26
1974-09-01,1974,9,5.00,13.00,4.00,14.00,213.00,13.00,25.00,11.00,27.00,535.00,0.00,51.00,0,61,358,25,28,25
1974-10-01,1974,10,2.00,6.00,0.00,7.00,108.00,6.00,10.00,5.00,12.00,263.00,3.00,104.00,0,150,1254,28,31,29
1974-11-01,1974,11,0.00,5.00,-3.00,6.00,66.00,5.00,11.00,4.00,16.00,214.00,0.00,51.00,0,89,468,26,27,28
1974-12-01,1974,12,-1.00,8.00,-9.00,9.00,70.00,7.00,7.00,7.00,7.00,7.00,33.00,33.00,33,33,33,23,1,1
1975-01-01,1975,1,-1.00,5.00,-4.00,7.00,60.00,5.00,9.00,3.00,11.00,103.00,0.00,51.00,0,89,275,26,15,15
1975-02-01,1975,2,-5.00,0.00,-8.00,2.00,-65.00,2.00,10.00,1.00,12.00,146.00,0.00,30.00,0,150,244,20,24,25
1975-03-01,1975,3,-3.00,5.00,-6.00,6.00,9.00,5.00,14.00,1.00,15.00,209.00,0.00,61.00,0,114,518,26,26,27
1975-04-01,1975,4,-1.00,8.00,-2.00,9.00,74.00,7.00,20.00,4.00,25.00,367.00,0.00,61.00,0,79,499,25,30,29
1975-05-01,1975,5,1.00,12.00,0.00,13.00,163.00,12.00,23.00,11.00,26.00,508.00,0.00,33.00,0,79,279,25,29,27
1975-06-01,1975,6,3.00,15.00,0.00,17.00,277.00,14.00,26.00,13.00,27.00,562.00,0.00,89.00,0,249,927,28,28,28
1975-07-01,1975,7,10.00,16.00,9.00,18.00,273.00,20.00,29.00,18.00,32.00,549.00,0.00,41.00,0,89,214,21,22,21
