MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,13.203773584905662,24.261224489795918,8.0,27.3,125.46199999999999
2,13.441509433962258,24.881249999999998,9.0,28.0,128.33673469387756
3,14.771698113207549,26.23333333333333,9.1,28.6,137.33137254901965
4,18.016981132075475,28.137499999999992,12.0,31.200000000000003,141.29215686274512
5,21.33018867924528,30.165957446808516,17.0,33.0,211.23921568627455
6,24.198113207547163,31.823404255319144,19.5,38.5,192.42692307692306
7,26.177358490566043,33.110638297872335,23.0,35.300000000000004,141.7509803921569
8,25.605769230769234,32.97291666666667,22.0,35.0,227.37600000000006
9,24.17884615384616,32.0875,21.1,34.7,235.20799999999997
10,21.734615384615385,30.460416666666664,17.0,32.800000000000004,181.495918367347
11,18.586538461538467,28.317021276595742,13.0,30.700000000000003,136.90612244897957
12,15.042307692307698,25.657777777777785,10.0,29.200000000000003,134.04285714285714
