MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-0.7862745098039216,14.772549019607842,57.92156862745098
2,-0.746153846153846,16.463461538461534,70.00384615384615
3,1.0115384615384617,19.52115384615385,100.37884615384617
4,5.65,23.888461538461534,117.53461538461535
5,10.615686274509805,26.882,139.9764705882353
6,15.649019607843142,29.60000000000001,265.0607843137255
7,21.188679245283016,33.21923076923077,216.80943396226408
8,22.262962962962956,33.52264150943395,168.42641509433966
9,17.34423076923077,31.35576923076923,183.9692307692308
10,10.559615384615386,26.998076923076926,110.91960784313727
11,5.319230769230771,22.47307692307692,77.418
12,1.2098039215686276,17.52352941176471,57.403921568627446
