MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,0.21320754716981136,12.783333333333333,47.75471698113207
2,0.2547169811320754,14.302222222222223,51.376470588235314
3,2.5660377358490565,17.16304347826087,65.08367346938778
4,7.218867924528301,21.749999999999996,66.06199999999998
5,11.773584905660382,25.170833333333334,71.83600000000003
6,16.303773584905656,28.179999999999996,144.04399999999998
7,21.02641509433963,32.125531914893614,175.90399999999997
8,22.418867924528303,32.15744680851064,212.61200000000005
9,17.696153846153848,28.57021276595745,184.9857142857143
10,11.953846153846154,24.08085106382979,64.802
11,5.9653846153846155,20.647916666666664,58.21224489795919
12,2.088461538461539,15.413636363636362,40.40204081632654
