MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,0.09821428571428578,11.844642857142857,144.79642857142855
2,0.46785714285714286,12.13035714285714,116.97500000000001
3,1.507142857142857,14.483928571428574,94.65357142857147
4,2.4054545454545453,16.647272727272732,78.8781818181818
5,5.398181818181817,20.15818181818182,72.16727272727273
6,8.22,22.423636363636366,60.10545454545452
7,10.205454545454549,24.57636363636364,62.07272727272727
8,10.17636363636364,23.80363636363637,67.77090909090907
9,8.074545454545454,22.541818181818176,77.96000000000002
10,5.696363636363635,18.64909090909091,122.20181818181823
11,2.930909090909091,14.745454545454546,137.36727272727276
12,0.6636363636363638,12.658181818181816,145.90727272727273
