MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-9.501785714285715,9.271153846153847,5.5982142857142865
2,-6.105357142857143,14.34259259259259,8.237499999999999
3,-1.1303571428571433,21.51296296296297,16.478571428571424
4,5.026785714285714,28.39433962264151,38.85714285714287
5,10.39642857142857,33.04716981132076,49.7517857142857
6,16.43571428571429,36.4433962264151,60.04821428571431
7,19.648214285714293,36.7,104.14821428571425
8,18.37142857142857,35.49433962264151,88.36785714285715
9,12.474545454545456,31.21538461538462,89.9418181818182
10,4.740000000000001,25.079245283018864,51.452727272727294
11,-2.58,18.152830188679243,20.229090909090903
12,-8.107272727272726,10.26923076923077,4.481481481481483
