MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,6.864285714285716,23.28571428571428,1.2000000000000002,27.700000000000003,49.82678571428573
2,8.244642857142855,24.858928571428567,2.1,31.5,53.99285714285714
3,11.055357142857146,27.50535714285715,3.8000000000000003,34.0,68.33749999999999
4,16.255357142857147,30.553571428571427,9.0,34.0,127.48035714285716
5,20.84821428571429,32.683928571428574,14.600000000000001,36.9,229.87142857142848
6,23.69821428571429,33.65535714285715,19.0,37.0,407.5982142857143
7,24.267857142857142,34.380357142857136,21.0,37.9,439.05
8,24.14107142857143,34.712500000000006,20.900000000000002,37.800000000000004,394.2000000000001
9,22.63818181818182,33.94181818181818,15.700000000000001,37.0,207.4963636363636
10,17.845454545454544,31.998181818181827,10.9,35.5,116.92545454545453
11,12.890909090909092,29.04363636363636,3.9000000000000004,32.9,65.5981818181818
12,8.105454545454544,25.241818181818186,1.9000000000000001,31.5,35.0890909090909
