MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-15.928301886792458,5.20625,15.639215686274513
2,-12.80754716981132,9.802222222222223,19.973469387755106
3,-5.6415094339622645,16.62826086956522,32.408333333333324
4,-0.5320754716981131,24.125531914893617,55.40408163265307
5,6.59622641509434,28.408510638297876,82.8285714285714
6,13.34528301886792,31.114,94.7755102040816
7,18.44150943396227,32.602127659574464,332.85400000000004
8,17.969811320754722,33.074468085106396,242.60199999999995
9,10.715384615384616,28.76170212765958,118.62653061224489
10,1.9057692307692304,23.547826086956523,38.846808510638304
11,-5.115384615384615,16.53404255319149,35.45833333333332
12,-12.923076923076918,7.633333333333334,19.006122448979593
