DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,10.37,18.10,2.60,26.00,3.69,1,1
2,10.47,17.70,3.80,24.50,12.17,1,2
3,10.80,18.32,5.80,24.50,8.22,1,3
4,10.84,17.88,5.60,22.40,17.56,1,4
5,10.39,17.10,5.40,25.20,16.89,1,5
6,10.38,17.58,3.20,24.90,17.35,1,6
7,10.51,17.75,4.30,24.00,21.98,1,7
8,10.63,17.53,4.30,24.90,22.50,1,8
9,10.18,18.12,3.60,24.00,1.90,1,9
10,10.42,17.64,4.40,22.80,4.73,1,10
11,10.61,18.11,3.90,27.20,3.79,1,11
12,10.39,17.73,4.60,28.40,3.96,1,12
13,9.87,16.84,4.30,24.90,14.74,1,13
14,9.87,16.66,4.70,23.50,22.83,1,14
15,9.58,17.42,3.80,25.90,20.92,1,15
16,9.72,16.84,3.30,25.30,7.40,1,16
17,9.77,17.52,2.80,25.40,10.35,1,17
18,10.33,17.21,5.00,24.50,5.94,1,18
19,10.19,16.94,5.20,25.30,8.92,1,19
20,10.26,16.89,4.40,26.00,10.06,1,20
21,10.37,17.35,4.70,27.70,12.48,1,21
22,10.18,17.16,3.30,26.20,21.22,1,22
23,9.87,16.76,3.00,26.70,11.24,1,23
24,9.72,17.03,3.00,25.80,13.33,1,24
25,9.71,16.16,0.10,25.90,21.33,1,25
26,9.63,15.99,2.90,23.20,22.55,1,26
27,9.61,16.22,4.30,23.20,9.25,1,27
28,9.55,16.40,4.20,23.30,22.60,1,28
29,9.86,17.03,2.00,24.20,15.42,1,29
30,9.79,17.15,4.30,24.90,6.08,1,30
31,9.31,16.74,2.70,25.90,22.25,1,31
32,9.64,16.52,5.10,26.70,18.31,2,1
33,9.60,16.31,5.30,26.30,19.21,2,2
34,9.46,16.04,5.10,26.20,9.90,2,3
35,9.74,16.75,5.00,26.20,22.65,2,4
36,9.93,16.61,3.90,25.20,27.25,2,5
37,9.79,17.07,3.90,26.10,21.06,2,6
38,9.72,16.88,2.60,27.30,33.69,2,7
39,9.52,16.50,2.70,26.00,24.68,2,8
40,9.91,16.99,4.60,26.50,15.06,2,9
41,9.98,17.11,4.20,26.30,16.11,2,10
42,10.15,17.64,4.10,26.00,17.29,2,11
43,10.40,18.55,5.50,26.00,17.14,2,12
44,10.89,18.09,5.60,25.10,17.92,2,13
45,11.27,18.60,5.40,27.20,22.38,2,14
46,11.07,17.76,5.30,25.50,35.17,2,15
47,11.11,18.49,6.40,26.80,19.04,2,16
48,10.70,18.39,5.20,25.90,35.53,2,17
49,10.81,17.53,4.20,26.00,42.49,2,18
50,10.79,16.85,4.40,26.30,38.58,2,19
51,10.25,17.65,4.20,24.40,28.49,2,20
52,10.26,17.70,4.20,26.50,32.39,2,21
53,11.08,18.54,4.60,28.20,45.11,2,22
54,11.48,19.13,5.70,27.80,29.90,2,23
55,11.03,17.90,6.30,26.80,22.63,2,24
56,11.15,17.45,4.80,28.40,25.77,2,25
