MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,21.624444444444453,33.330232558139535,18.7,36.0,54.85862068965517
2,21.697777777777784,33.76136363636363,12.5,35.7,66.11818181818181
3,21.82,34.419999999999995,13.4,37.0,74.92692307692307
4,22.04444444444444,34.68863636363636,17.0,37.2,67.032
5,22.215555555555557,34.76136363636363,12.4,36.800000000000004,56.15652173913044
6,21.766666666666666,34.53181818181818,17.0,39.800000000000004,27.14999999999999
7,21.59318181818182,34.30930232558139,18.5,37.0,40.96521739130436
8,21.54318181818182,34.26976744186047,15.5,39.6,36.95384615384616
9,21.55909090909091,34.158139534883716,18.0,36.0,93.62380952380953
10,21.939534883720935,34.05813953488372,19.0,36.5,81.49230769230768
11,21.929545454545455,33.76136363636363,19.0,35.4,97.01290322580643
12,21.86818181818182,33.26511627906977,14.600000000000001,37.0,54.317241379310346
